language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
english,xll,gemini25pro,prt,full,0.482,2026-01-30 17:30:37,
english,xll,gemini25pro,apd,full,0.781,2026-01-30 17:30:37,
english,xll,gemini25pro,amd,full,0.638,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_sym,full,0.7,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_opt_sym,full,0.711,2026-01-30 17:30:37,
english,xll,gemini25pro,prt,pca,-0.093,2026-01-30 17:30:37,
english,xll,gemini25pro,apd,pca,0.228,2026-01-30 17:30:37,
english,xll,gemini25pro,amd,pca,0.636,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_sym,pca,0.695,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_opt_sym,pca,0.696,2026-01-30 17:30:37,
english,xll,gemini25pro,prt,def,0.475,2026-01-30 17:30:37,
english,xll,gemini25pro,apd,def,0.584,2026-01-30 17:30:37,
english,xll,gemini25pro,amd,def,0.679,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_sym,def,0.605,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_opt_sym,def,0.597,2026-01-30 17:30:37,
english,xll,gemini25pro,prt,rand,0.402,2026-01-30 17:30:37,
english,xll,gemini25pro,apd,rand,0.549,2026-01-30 17:30:37,
english,xll,gemini25pro,amd,rand,0.599,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_sym,rand,0.71,2026-01-30 17:30:37,
english,xll,gemini25pro,amd_opt_sym,rand,0.711,2026-01-30 17:30:37,
english,xll,gemini25pro,hub_topshare_t2_to_t1,full,0.09522976908865914,2026-01-30 17:30:37,hubness_mean_over_words
english,xll,gemini25pro,hub_antihubshare_t1_wrt_t2,full,0.5495683485638754,2026-01-30 17:30:37,hubness_mean_over_words
english,xll,gemini25pro,hub_meanfanout_t1_wrt_t2,full,2.395863600679346,2026-01-30 17:30:37,hubness_mean_over_words
