language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
english,xll,gemini25pro,prt,full,0.482,2026-01-29 14:02:59,
english,xll,gemini25pro,apd,full,0.781,2026-01-29 14:02:59,
english,xll,gemini25pro,amd,full,0.638,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_sym,full,0.7,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_opt_sym,full,0.711,2026-01-29 14:02:59,
english,xll,gemini25pro,prt,pca,0.032,2026-01-29 14:02:59,
english,xll,gemini25pro,apd,pca,0.228,2026-01-29 14:02:59,
english,xll,gemini25pro,amd,pca,0.636,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_sym,pca,0.695,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_opt_sym,pca,0.696,2026-01-29 14:02:59,
english,xll,gemini25pro,prt,def,0.475,2026-01-29 14:02:59,
english,xll,gemini25pro,apd,def,0.584,2026-01-29 14:02:59,
english,xll,gemini25pro,amd,def,0.679,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_sym,def,0.605,2026-01-29 14:02:59,
english,xll,gemini25pro,amd_opt_sym,def,0.597,2026-01-29 14:02:59,
english,xlmr,gemini25pro,prt,full,0.303,2026-01-29 14:03:08,
english,xlmr,gemini25pro,apd,full,0.517,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd,full,0.534,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_sym,full,0.507,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_opt_sym,full,0.5,2026-01-29 14:03:08,
english,xlmr,gemini25pro,prt,pca,0.185,2026-01-29 14:03:08,
english,xlmr,gemini25pro,apd,pca,0.126,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd,pca,0.535,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_sym,pca,0.48,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_opt_sym,pca,0.484,2026-01-29 14:03:08,
english,xlmr,gemini25pro,prt,def,0.003,2026-01-29 14:03:08,
english,xlmr,gemini25pro,apd,def,-0.12,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd,def,0.399,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_sym,def,0.357,2026-01-29 14:03:08,
english,xlmr,gemini25pro,amd_opt_sym,def,0.344,2026-01-29 14:03:08,
english,rembert,gemini25pro,prt,full,0.296,2026-01-29 14:03:18,
english,rembert,gemini25pro,apd,full,0.41,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd,full,0.33,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_sym,full,0.333,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_opt_sym,full,0.344,2026-01-29 14:03:18,
english,rembert,gemini25pro,prt,pca,0.175,2026-01-29 14:03:18,
english,rembert,gemini25pro,apd,pca,0.059,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd,pca,0.493,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_sym,pca,0.484,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_opt_sym,pca,0.494,2026-01-29 14:03:18,
english,rembert,gemini25pro,prt,def,0.275,2026-01-29 14:03:18,
english,rembert,gemini25pro,apd,def,0.325,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd,def,0.583,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_sym,def,0.548,2026-01-29 14:03:18,
english,rembert,gemini25pro,amd_opt_sym,def,0.555,2026-01-29 14:03:18,
english,multilingual-e5,gemini25pro,prt,full,0.272,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,apd,full,0.324,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd,full,0.32,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd_sym,full,0.314,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd_opt_sym,full,0.317,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,prt,pca,0.23,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,apd,pca,0.053,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd,pca,0.473,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd_sym,pca,0.511,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd_opt_sym,pca,0.499,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,prt,def,0.09,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,apd,def,0.327,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd,def,0.272,2026-01-29 14:03:27,
english,multilingual-e5,gemini25pro,amd_sym,def,0.243,2026-01-29 14:03:27,
